pf_n;pf_p;s_n;s_p;m_n;m_p
0.86;0.0927;-423;771;0.599;32.9
0.124;0.114;-771;782;14.7;23.7
0.917;0.0327;-406;870;0.508;59.2
0.863;0.0293;-411;764;0.553;19.4
0.168;0.478;-763;614;113;33.6
1.38;0.636;-469;504;0.725;1.28
0.934;0.112;-398;618;0.477;507
0.932;0.163;-405;785;0.496;3.88
0.0608;0.12;-697;637;100;107
0.451;0.336;-544;644;6.87;2.73
0.239;0.226;-599;701;4.78;5
0.271;0.348;-673;564;189;495
0.0106;0.0449;-742;740;158;47.8
0.202;0.0155;-676;703;8.41;106
0.188;0.24;-750;723;8.97;6.72
0.96;0.122;-383;695;0.445;10.3
0.86;0.0443;-425;764;0.594;23.8
0.899;0.0109;-390;813;0.479;52.6
1.07;0.148;-311;626;0.255;2.4
1.01;0.0103;-400;807;0.45;44.2
0.465;1.14;-628;522;4.82;1.2
0.67;0.16;-568;730;14.8;14.3
0.765;0.895;-579;635;1.34;1.56
1.08;0.285;-321;535;0.298;2.19
1.46;0.223;-525;818;0.54;3.53
1.47;0.722;-538;604;0.559;1.86
1.55;1.33;-532;505;0.539;1.2
0.169;0.388;-749;683;13.9;5.49
0.686;0.05;-570;760;6.68;32.8
0.941;0.321;-535;729;22.2;46.2
1.15;0.258;-548;672;4.8;3.37
1.15;2.35;-514;339;0.646;0.318
1.11;2.06;-466;334;0.575;0.299
1.57;0.827;-276;314;0.136;0.259
0.313;0.106;-687;771;14.6;31
0.202;0.111;-737;739;57.3;28.7
0.884;0.0242;-415;778;0.55;82.2
0.345;0.277;-660;757;19.5;426
1.06;0.2;-330;597;0.303;2.66
1.44;0.474;-535;690;0.56;2.95
1.12;0.747;-412;513;0.718;1.88
0.36;0.118;-481;665;1.96;5.62
0.0101;0.0219;-779;812;892;78
0.978;0.0754;-358;769;0.372;14.1
0.667;1.07;-589;509;4.39;7.67
0.728;0.655;-515;562;2.87;4.82
0.21;0.0803;-714;816;7.72;30.7
0.0314;0.00284;-864;812;210;1640
0.779;0.013;-444;756;0.718;50.8
0.881;0.0106;-420;825;0.564;129
0.613;0.00115;-501;767;1.17;1450
0.401;0.0666;-557;723;2.53;16.6
0.662;0.0275;-488;838;1.02;25.5
0.877;0.256;-572;731;1.14;15.4
1.32;0.309;-494;712;2.86;3.26
1.15;0.142;-599;668;4.89;7.37
1.2;0.425;-575;569;0.794;2.32
0.965;0.0177;-410;804;0.49;52.3
0.699;0.418;-524;584;1.23;1.96
1.01;0.451;-474;563;1.06;1.93
0.549;0.412;-617;633;122;35.9
1.24;0.484;-410;462;0.384;0.993
0.511;0.283;-603;678;2;3.62
1.32;0.261;-581;702;53.2;5.98
0.965;0.662;-490;574;1.6;9.33
0.542;0.177;-588;691;2.41;7.13
0.683;0.156;-547;726;10.7;14
0.465;0.369;-664;711;2.87;4.55
1.09;0.709;-439;634;0.515;0.781
0.0433;0.0233;-774;797;44.6;73.3
0.23;0.107;-698;806;6.31;19.5
0.777;0.839;-698;703;45.4;10.5
1.04;0.593;-377;517;0.452;2.89
0.166;0.38;-692;601;417;1710
0.0424;0.0941;-776;733;190;24.1
0.263;0.184;-702;719;2340;9.91
0.521;0.357;-524;583;3.64;1330
0.0151;0.029;-748;780;637;109
0.0557;0.00917;-717;753;26;158
0.0381;0.0405;-819;861;49.6;46.7
1.1;0.234;-324;568;0.279;2.66
0.898;0.0288;-403;733;0.511;24.5
0.894;0.0629;-414;759;0.547;8.01
0.936;0.0631;-382;815;0.441;14.6
0.171;0.0614;-642;655;7.21;21
0.381;0.228;-544;522;2.62;4.87
0.603;0.203;-577;726;1.74;6.53
1.4;0.134;-365;532;0.489;8.36
0.6;0.323;-541;710;5.36;30.5
1.13;0.213;-324;623;0.263;1.4
0.273;0.111;-694;758;6.51;14.1
0.569;0.785;-604;660;4.9;2.92
1.31;0.455;-410;569;0.394;1.17
1.41;0.665;-602;578;0.954;2.08
0.901;0.68;-632;626;1.33;1.72
1.08;0.181;-327;637;0.281;1.67
0.602;0.108;-518;674;1.39;8.59
0.818;0.056;-473;750;0.864;16.7
1.48;0.108;-329;699;0.5;3.37
0.886;0.293;-685;709;1.89;12.9
0.134;0.184;-640;619;36.9;31.3
1.7;0.353;-544;629;0.624;2.55
1.33;0.297;-451;668;1.48;2.04
1.76;0.483;-361;583;0.721;1.02
1.05;0.135;-252;657;0.17;1.33
1.07;0.152;-326;661;0.281;2.19
1.09;0.125;-253;623;0.165;1.44
0.536;0.337;-626;667;2.12;7.79
0.669;1.24;-687;512;2.11;1.31
1.05;0.0816;-304;740;0.248;3.19
1.1;0.29;-320;733;0.263;0.998
0.0602;0.109;-657;660;22.2;38.5
1.7;1.47;-512;566;2.02;0.519
0.499;0.0087;-555;708;1.75;110
0.0301;0.196;-701;598;48.3;7.08
0.0107;0.0531;-726;631;198;2870
0.0215;0.00812;-656;673;662;163
0.146;0.216;-709;737;54.5;11.2
0.851;0.308;-413;543;0.566;1.56
0.314;0.449;-710;639;8.05;4.71
0.296;0.216;-618;638;7.08;8.69
0.0168;0.0511;-719;720;168;76.3
0.035;0.0394;-696;674;162;40.1
1.07;0.107;-308;676;0.253;2.95
1.21;0.101;-319;664;0.244;3.95
0.5;0.017;-544;768;1.67;49.2
0.0489;0.0307;-781;770;35.2;56.1
1.21;0.432;-406;574;0.722;1.56
1.19;1.31;-503;577;0.677;0.666
0.191;0.187;-665;711;9.78;7.2
0.115;0.0937;-676;702;56.2;20.5
0.0145;0.0309;-681;715;572;126
0.454;0.188;-547;725;1.91;9.71
0.476;0.848;-658;591;2.9;1.9
0.767;0.105;-459;668;0.777;5.75
0.00153;0.0269;-691;762;11700;112000
0.582;0.695;-612;638;2.33;6.36
1.41;0.1;-495;742;0.497;8.99
0.819;0.597;-578;652;1.52;2.37
0.698;0.0152;-468;774;0.884;40.5
0.175;0.0402;-686;736;9.92;34.5
0.457;0.0149;-531;763;1.74;53.4
0.142;0.273;-713;636;127;20.4
0.399;0.0783;-744;801;3.98;20.2
0.7;0.138;-603;708;2.07;24.3
0.872;0.377;-409;539;0.542;1.82
0.471;0.177;-666;718;2.89;8.99
0.463;0.255;-616;639;2.37;4.54
0.454;0.0345;-464;757;18900;3890
0.394;0.198;-604;711;2.87;7.04
0.789;0.192;-454;743;0.797;3.03
1.03;0.196;-251;589;0.172;0.903
0.00888;0.0368;-709;680;446;95.1
1.05;0.122;-343;773;0.316;2.72
0.943;0.127;-392;638;0.461;3.83
1.04;0.137;-328;725;0.292;2.22
0.924;0.519;-380;500;0.453;1.09
1.05;0.486;-380;587;0.389;0.875
1.08;0.551;-505;605;0.689;2.03
0.79;0.361;-500;595;0.985;2.39
1.09;0.766;-488;576;0.628;1.6
0.808;0.122;-412;713;0.597;31
0.79;0.0612;-435;702;0.693;8.79
0.0398;0.0346;-681;676;697;1010
0.489;0.579;-645;710;100;24.7
0.389;0.97;-773;627;4.9;2.29
0.297;0.484;-746;738;35;3.32
0.349;0.331;-700;785;35.5;4.76
0.327;0.23;-640;722;5.62;14.7
0.154;0.109;-746;791;21.3;15
0.584;0.657;-626;575;6.13;3.76
0.763;0.389;-444;746;0.727;1.43
0.781;0.506;-441;631;0.709;1.3
0.783;0.0941;-447;701;0.729;6.03
0.408;0.296;-609;691;2.98;5.8
1.08;0.0543;-346;787;0.313;6.2
0.176;0.481;-724;641;17.7;4.54
0.495;1.11;-668;666;2.74;53
1.07;0.437;-443;594;0.799;1.59
1.15;0.51;-427;583;0.882;1.17
0.641;0.629;-659;585;13.6;2.16
0.322;0.231;-560;646;3.11;7.13
0.565;0.173;-557;645;1.72;5.48
1.16;1.17;-444;441;0.508;0.491
1.23;0.331;-312;708;0.303;6.29
0.959;0.369;-454;677;0.613;1.74
1.41;0.87;-582;540;0.806;1.56
1.21;0.761;-571;540;2.73;1.48
1.1;0.309;-297;590;0.239;1.27
0.0303;0.00291;-669;711;54.2;823
0.143;0.411;-771;674;22.1;6.51
0.339;0.411;-720;687;7.29;10.8
0.855;0.0601;-428;659;0.619;13.6
0.296;0.203;-736;768;6.77;8.62
1.15;1.45;-636;500;15.8;6.48
0.379;0.104;-621;685;3.11;26.8
0.35;0.439;-773;712;9.35;4.85
0.696;0.488;-633;645;1.89;3.74
1.57;1.41;-620;588;2.19;1.22
0.608;0.179;-516;724;1.27;4.65
1.52;1.75;-576;515;0.616;1.76
0.156;0.625;-883;671;33600000;4.8
0.754;0.525;-542;632;1.73;1.94
0.209;0.0868;-659;774;5.97;15.1
0.261;0.166;-614;661;4.96;301
0.265;0.275;-529;613;17.1;71.4
0.351;0.226;-626;711;3.61;6.57
0.471;0.0771;-668;745;4.13;18.9
0.28;0.203;-733;749;8.51;11.5
0.791;0.19;-444;742;0.76;2.96
1.08;0.248;-306;621;0.244;1.06
0.855;0.189;-273;522;1.49;509
0.0994;0.0586;-717;807;16.4;26.3
0.203;0.163;-447;309;3.1;3.91
0.936;0.0267;-378;804;0.436;23
0.933;0.0402;-416;731;0.528;33.9
0.966;0.507;-486;575;0.7;1.54
0.431;0.0962;-618;720;2.56;42.9
0.908;0.51;-457;564;0.668;2.04
1.25;0.944;-515;578;0.605;1.93
0.908;0.131;-389;684;0.47;3.52
0.908;0.127;-399;703;0.495;5.07
1.03;0.187;-349;695;0.333;1.84
0.508;0.457;-635;624;3.45;3.95
0.978;0.622;-370;515;0.394;1.21
0.774;0.794;-607;713;1.34;1.31
0.29;0.487;-748;739;37.7;3.44
0.781;0.388;-435;747;0.683;1.38
0.707;0.0876;-514;660;20500;8.78
0.696;0.262;-340;429;0.518;1.24
1.08;0.0571;-345;796;0.31;5.86
0.953;0.191;-379;653;0.427;8.19
0.961;0.198;-412;690;0.501;289
0.691;0.0796;-606;733;1.5;14.1
0.928;0.579;-515;576;0.808;1.82
0.565;0.186;-716;747;18.8;25.2
0.659;0.638;-645;582;2.34;2.27
0.605;0.503;-677;640;12.4;3.12
0.45;0.406;-672;700;16.7;5.93
0.148;0.222;-719;772;10.9;7.09
0.729;0.374;-659;740;5.92;3.97
0.957;1.4;-538;424;1.52;0.624
1.22;0.336;-310;714;0.295;9.12
0.109;0.392;-753;668;18.9;8.38
0.798;0.0826;-437;815;0.679;26.8
0.923;0.103;-410;700;0.513;4.8
0.727;0.108;-462;662;0.914;61.2
1.06;0.523;-511;625;2.51;2.93
0.332;0.433;-723;683;6.47;10
0.862;0.0686;-426;652;0.608;11.2
0.874;0.0412;-417;714;0.56;14.2
0.691;0.829;-640;589;1.71;1.69
0.914;1.29;-649;585;1.39;0.95
1.08;0.647;-384;558;0.509;3.44
1.08;1.26;-517;495;2.02;2.94
1.53;1.3;-594;584;1.38;1.43
1.09;2.77;-613;385;1.02;0.533
0.605;0.184;-518;718;1.28;4.6
0.408;0.375;-630;716;4.06;5.21
0.615;7.57E-05;-357;856;0.592;6770
0.551;0.000374;-336;810;0.7;1490
0.669;0.00108;-332;841;0.466;331
0.551;0.00227;-408;806;0.854;238
0.211;0.0688;-742;799;8.11;41
0.0968;0.248;-711;702;15.6;10.9
0.0446;0.261;-719;666;37.5;5.98
0.063;0.141;-736;709;38.3;17
0.0412;0.213;-748;661;44.6;9.25
0.018;0.0269;-784;742;178;214
0.102;0.257;-722;636;17.1;17.5
0.0565;0.0124;-651;763;28.5;115
0.148;0.586;-674;606;99.5;8.73
0.0136;0.132;-703;715;382;29.7
0.168;0.708;-629;602;9.11;1.64
0.0371;0.0137;-737;769;50.4;282
0.0719;0.0825;-705;771;31.9;21.7
0.0142;0.00891;-698;736;109;170
0.0162;0.00152;-710;725;182;6790
0.2;0.382;-692;646;7.44;4.57
0.374;0.441;-662;753;3.38;3.19
0.121;0.0291;-648;738;41.4;50.9
0.00961;0.000929;-735;792;293;10200
0.546;0.212;-529;616;105;9.76
0.146;0.831;-767;590;14.9;22.9
0.133;0.543;-686;601;560;2.5
0.369;0.548;-731;630;26.2;3.9
0.106;1.13;-718;615;13.9;1.34
0.015;0.166;-762;654;138;60
0.0579;0.979;-682;533;27.4;448
0.967;0.77;-562;641;0.945;2.67
1.35;0.986;-560;567;0.891;0.929
0.05;0.217;-748;686;39.7;7.81
0.00962;0.112;-757;648;170;29.8
0.0449;0.192;-758;704;48;10.3
0.0377;0.0915;-735;728;43.4;34
0.0161;0.054;-772;698;116;35.8
0.0465;0.226;-785;701;45.9;12.8
0.288;0.277;-718;762;16.5;17.4
0.0683;0.111;-758;748;26.8;18.1
0.00805;0.0738;-819;778;239;45.7
0.957;0.0436;-374;864;0.412;9.03
0.0496;0.0178;-621;722;22.7;66.2
0.0168;0.141;-717;649;120;19
0.000257;0.0835;-819;835;7850;35
0.966;0.576;-626;662;1.54;2.1
0.0742;0.0649;-711;689;24.7;28.8
0.211;0.282;-635;679;18.7;13.2
0.473;4.21;-744;389;3.99;0.374
0.595;0.291;-753;799;4.79;5.65
0.0733;0.0885;-681;674;20.1;18.6
0.032;0.0788;-699;651;45.7;27.9
0.456;0.0733;-558;658;2.73;16.1
0.994;0.0518;-365;828;0.379;7.26
0.221;0.0428;-610;687;13.3;27.5
0.729;0.183;-508;699;1.27;8.15
1.04;0.0137;-341;720;0.317;402
0.519;0.369;-599;613;2.28;7.31
0.799;0.0445;-442;784;0.688;15.3
0.269;0.267;-702;662;5.7;5.81
1.5;0.486;-460;587;0.412;1.8
0.567;0.237;-664;726;2.19;5.24
0.847;0.0628;-426;730;0.632;8.35
0.809;0.0211;-438;801;0.67;27.1
1.1;0.147;-284;707;0.211;1.55
0.0156;0.0382;-756;670;156;64.1
0.86;6.66;-682;307;1.55;0.269
0.842;0.00478;-391;772;0.512;119
0.988;0.38;-585;733;1.04;5.88
0.993;0.378;-585;715;1.01;5.72
0.0591;0.0297;-726;803;593;69.2
0.0828;0.214;-706;717;75.2;6.87
0.199;0.0178;-639;705;22.4;114
1.07;0.188;-324;627;0.287;4.09
1.05;0.206;-317;635;0.275;4.5
1.08;0.248;-254;562;0.17;2.47
1.69;1.29;-557;541;1.76;1.73
0.00581;0.105;-668;684;682;19.3
0.0105;0.138;-674;679;901;41.7
0.464;0.115;-615;786;2.31;9.93
1.74;0.267;-491;727;0.392;2.86
0.604;0.267;-654;678;2.98;4.71
0.338;0.423;-645;603;3.53;4.53
0.678;0.0503;-501;825;1.48;22.5
0.246;0.164;-702;718;5.65;10.8
0.309;0.106;-666;695;4.46;15
1.11;0.0664;-287;727;0.21;40.9
1.12;0.0507;-301;692;0.23;73.7
1.09;0.0142;-309;736;0.248;58.5
0.846;0.0855;-561;635;2.54;10.5
1.15;0.242;-331;663;0.313;2.44
1.11;0.206;-253;551;0.163;0.991
1.17;0.411;-602;659;1.19;3.39
0.304;0.233;-683;647;4.59;8.96
0.634;0.0848;-543;772;1.4;10.5
0.131;0.0466;-662;738;9.48;42.8
0.878;0.0849;-415;763;0.553;60
1.05;0.0675;-323;769;0.282;4.37
1.13;0.171;-298;709;0.222;3.79
0.512;0.104;-556;679;2.54;12.8
2.07;0.757;-411;720;0.23;0.628
1.12;0.186;-250;642;0.156;0.945
0.00463;0.0787;-816;759;840;29.5
1.71;0.522;-367;501;0.423;0.734
0.849;0.0173;-425;782;0.605;45
0.884;0.0719;-417;743;0.555;8.2
0.879;0.03;-406;840;0.53;18.5
0.13;0.00229;-691;679;41.2;644
1.23;0.362;-337;624;0.279;2.9
1.2;0.3;-336;646;0.303;2.93
0.0755;0.184;-714;677;33.8;10.8
1.21;0.276;-271;589;0.187;2.13
1.24;0.286;-275;587;0.185;2.12
0.115;0.131;-709;731;17.1;11.7
0.0249;0.0637;-752;736;66.7;27.3
0.203;0.203;-721;725;31.4;15.5
0.307;0.527;-691;613;10.8;3.8
0.0102;0.283;-859;715;255;11
0.0241;1.55;-891;556;103;2.04
0.00706;0.234;-795;655;265;10.6
0.00592;0.386;-813;636;393;5.3
0.0294;2.49;-756;497;102;1.33
0.00357;1.15;-821;541;632;1.83
0.00694;0.0289;-821;792;276;76.9
0.00469;0.751;-810;580;615;18.9
1.28;0.309;-465;651;0.562;8.73
0.725;0.0986;-272;635;0.289;2.12
0.00843;0.767;-848;609;311;7.15
0.0205;0.41;-835;697;123;4.87
0.0252;0.215;-736;697;86;7.82
0.00983;0.848;-853;621;242;6.46
0.0113;1.68;-886;638;210;2.06
0.594;0.254;-510;648;1.55;3.23
0.00523;1.56;-813;508;356;1.35
0.255;0.771;-559;556;3.52;1.92
0.0149;1.51;-782;484;338;1.55
0.307;1;-519;511;2.53;1.44
0.00226;0.251;-916;691;1050;13.7
0.0667;4.6;-840;552;31;1.55
0.29;0.421;-607;663;14.7;7.56
0.0214;0.392;-792;705;95.2;19.3
0.00602;0.341;-848;660;391;55.1
0.0892;0.102;-726;714;35.5;15.5
0.532;0.209;-413;570;0.975;3.16
0.489;0.422;-543;668;2.88;10.8
0.0292;0.392;-783;662;60.9;9.54
0.0106;1.54;-799;507;188;2.1
0.0731;0.409;-608;609;14.6;9.65
0.888;0.171;-394;653;0.499;7.44
0.505;0.419;-577;588;3.81;3.53
0.495;0.425;-604;593;4.89;3.1
0.0228;1.44;-777;580;107;14.3
0.35;0.0858;-602;704;8.52;13.8
0.0323;0.567;-681;585;40.6;3.36
0.00584;0.634;-817;594;346;3.17
0.0176;0.282;-780;684;13100;7.9
0.0991;0.65;-703;582;21;3.19
0.117;0.122;-542;665;7.43;7.7
0.081;0.444;-658;608;15.6;3.72
0.314;0.0751;-504;746;2.34;10
0.0341;0.993;-766;602;50.3;4.83
0.218;0.314;-642;687;5.33;3.7
0.842;0.072;-350;707;0.415;21.6
0.0195;0.404;-784;683;106;97.1
7.39E-05;0.0123;-781;745;32300;319
0.178;0.703;-682;642;16.4;118
0.0534;0.435;-847;723;38.2;7.23
0.038;0.905;-888;729;84;15.5
0.000884;0.324;-926;702;3060;8.5
0.000739;0.0547;-868;755;2950;47.2
0.00448;0.188;-863;703;531;18.4
0.00793;0.392;-874;708;309;7.29
0.00769;0.877;-883;648;610;6.01
0.00847;0.515;-882;672;259;5.31
0.00593;0.0632;-858;742;446;132
0.0385;0.498;-757;765;60;14.5
0.51;0.121;-467;754;1.23;5.57
2.64;1.19;-382;541;0.16;0.418
1.19;1.04;-490;587;0.699;0.651
0.966;0.595;-543;532;1.15;1.66
0.407;0.186;-738;730;4.53;14.6
0.375;0.286;-718;726;3.88;5.07
1.05;0.144;-345;658;0.327;2.38
1.09;0.0989;-306;733;0.249;20.6
1.04;0.124;-348;674;0.331;4.22
0.0949;0.0557;-659;701;19;33.1
0.754;0.371;-724;678;1.96;3.99
2.62;0.856;-425;596;0.195;0.796
0.781;0.322;-471;578;0.917;1.96
0.369;0.0115;-542;782;2.24;72.1
1.12;0.128;-288;836;0.209;1.82
1.11;1.92;-475;379;1.75;0.484
0.879;0.369;-544;596;1;2.43
0.74;0.202;-609;757;2.2;10.5
1.05;0.255;-438;617;0.58;14.3
0.457;0.224;-720;746;3.52;15.7
0.925;0.00915;-390;725;0.463;135
0.974;0.104;-379;674;0.416;13.3
0.921;0.35;-430;650;0.727;30.2
0.945;0.614;-327;451;0.645;0.781
0.36;0.0394;-545;758;2.42;22
0.425;0.0182;-553;822;2.06;48.7
1.13;0.68;-646;557;1.21;1.74
0.729;0.0774;-471;835;0.859;8.09
1.04;0.308;-500;653;0.681;5.07
1.38;0.34;-399;727;2.02;7.35
0.0177;0.0744;-717;755;81.9;19.5
0.941;0.1;-400;658;0.478;4.49
1.12;0.0945;-287;756;0.208;6.19
0.896;0.056;-421;755;0.582;46.7
1.08;0.256;-334;645;0.296;1.33
0.945;0.0482;-405;730;0.497;16.2
2.08;4.84;-485;352;1.59;0.344
0.831;0.119;-523;720;2.18;7.43
2.84;1.43;-552;551;0.605;0.744
2.36;2.67;-447;492;0.306;0.213
0.0549;0.07;-676;693;26.3;453
0.54;0.566;-640;562;2.53;2.19
0.518;0.923;-673;625;2.56;4.72
0.732;0.0718;-482;790;0.999;29.8
0.757;0.0457;-602;806;1.58;47.4
0.0458;0.207;-712;636;46.1;24.4
0.93;0.297;-526;635;0.852;2.85
0.252;0.136;-699;755;6.21;26.8
0.761;0.00181;-455;857;0.774;328
0.00556;0.0376;-767;800;2510;1510
0.0852;0.0363;-787;755;27.3;259
0.527;0.0405;-626;798;26.7;48.9
0.0301;0.0164;-783;782;96.2;220
0.000623;0.0834;-701;678;2760;529
0.966;0.0312;-412;817;0.497;194
0.928;0.00762;-415;737;0.525;217
0.785;0.0234;-444;740;0.71;65.7
0.624;0.0459;-616;809;5.5;41.7
0.639;0.125;-666;820;33.1;290
0.108;0.0322;-711;432;21.5;19800
0.00652;0.00469;-704;702;570;1090
0.86;0.0121;-421;823;0.582;739
1.22;0.36;-604;640;0.97;3.43
0.694;0.191;-485;619;0.957;4.91
0.542;0.0549;-430;813;0.974;10.8
0.809;0.0321;-436;752;0.681;35.8
0.701;0.0241;-473;757;0.901;142
0.71;0.00786;-466;804;0.861;82.2
0.019;0.0105;-775;844;89.4;161
0.0701;0.00492;-670;780;19;1010
0.858;0.00123;-411;732;0.564;3640
0.162;0.111;-745;711;21.9;17
0.682;0.145;-716;813;7.39;19.4
0.692;0.706;-737;709;2.21;124
0.324;0.0943;-644;680;8.89;20.7
0.131;0.0983;-792;794;23.8;36.5
0.932;0.151;-396;806;0.474;2.96
0.927;0.0278;-412;838;0.517;18.7
0.896;0.0117;-420;824;0.554;45.5
0.936;0.0706;-394;767;0.467;6.27
0.879;0.0793;-415;762;0.552;12.2
0.827;0.0646;-437;778;0.652;9.06
0.579;0.307;-776;841;2.99;31.3
0.0103;0.00685;-704;719;162;271
0.0121;0.0135;-742;684;225;295
0.859;0.0545;-420;768;0.578;12
0.848;0.0397;-426;838;0.604;22.2
0.847;0.0295;-427;821;0.616;44.5
0.854;0.0592;-426;804;0.606;10.1
0.0553;0.0302;-654;718;75.1;148
0.64;0.304;-688;739;2.56;4.74
0.743;0.048;-456;773;0.794;20.1
0.769;0.0443;-452;772;0.755;32.2
0.515;0.159;-619;825;2.1;14.3
0.359;0.173;-661;738;4.11;32.2
0.044;0.011;-689;703;34.2;175
0.489;0.272;-692;664;12.5;8.46
0.452;0.265;-631;643;3.29;10.3
0.851;0.312;-572;636;2.99;3.54
0.668;0.101;-552;787;2.21;3170
0.851;0.051;-424;817;0.599;11.7
0.82;0.0287;-441;812;0.674;31.8
0.832;0.0226;-429;746;0.624;148
0.959;0.196;-539;679;0.863;4.69
0.335;0.392;-732;695;9.18;22.7
0.315;0.0297;-682;866;5.02;58.4
0.858;0.068;-423;777;0.589;8.46
0.365;0.144;-687;737;13.1;15.8
0.881;0.016;-427;843;0.585;53.8
0.834;0.098;-647;772;4.48;59.6
0.151;0.0436;-743;766;32.6;62.2
0.837;0.0707;-435;822;0.646;11.6
0.69;0.042;-494;696;1.06;16.4
0.392;0.345;-644;694;3.44;22.9
0.163;0.0322;-694;810;14.2;46.3
0.564;0.214;-619;710;3.49;8.8
0.437;0.692;-626;564;3.02;192
1.05;0.202;-343;765;0.317;4.91
1.01;0.125;-360;701;0.365;3.01
0.713;0.0445;-466;825;0.863;13.8
0.164;0.111;-608;756;6.6;11.9
0.228;0.073;-710;843;6.87;35.3
0.394;0.105;-681;827;3.43;58.2
0.193;0.283;-704;681;40.6;15.3
0.435;0.154;-678;800;3.17;54.8
0.932;0.214;-534;733;0.946;5.75
0.861;0.0138;-431;851;0.607;41.3
0.855;0.0225;-428;851;0.605;23.9
0.839;0.0673;-424;740;0.605;9.48
0.0302;0.0133;-729;752;52.9;451
0.774;0.275;-608;660;576;16.5
0.856;0.0232;-431;811;0.612;35
0.875;0.0244;-423;782;0.576;51.5
0.776;0.0686;-447;730;0.728;20.4
0.243;0.145;-675;740;5.91;11.6
1.01;0.144;-380;632;0.403;207
0.153;0.108;-727;729;17.8;139
0.38;0.276;-635;740;13.3;27.4
0.514;0.299;-573;630;2.52;3.65
0.75;0.00399;-504;801;1.59;973
0.849;0.0923;-422;763;0.592;31.5
0.838;0.0498;-425;811;0.606;10.4
0.661;0.0151;-448;772;0.867;67.2
0.729;0.0537;-440;778;0.781;20.5
0.869;0.0267;-422;852;0.579;21.1
0.868;0.00938;-413;890;0.554;70.4
0.202;0.201;-613;657;5.89;21.5
0.00932;0.0342;-698;762;497;81.4
0.154;0.135;-714;728;11.2;234
0.338;0.0313;-681;860;4.83;109
0.42;0.343;-752;776;111;10.3
0.644;0.0675;-489;735;1.2;11
0.386;0.107;-676;772;3.49;12.7
0.623;0.0937;-608;807;2.33;11.7
0.814;0.129;-533;828;1.98;6.25
0.348;0.252;-687;704;3.94;7.07
0.134;0.0293;-707;771;14.7;59.6
0.0185;0.00142;-682;675;101;2720
0.0182;0.00949;-625;696;91.7;129
0.964;0.0916;-382;786;0.428;108
0.298;0.208;-776;781;21.2;47.1
0.747;0.0397;-486;767;0.936;35.4
0.902;0.0173;-404;840;0.512;35.6
0.918;0.0337;-401;798;0.493;33.6
0.993;0.0992;-365;775;0.379;7.1
0.0981;0.00627;-739;750;90.8;4550
0.12;0.0076;-708;841;25.8;273
0.0906;0.00158;-713;767;20;7870
0.186;0.0134;-775;793;144;160
0.446;0.00339;-548;842;1.9;258
0.345;0.0124;-569;781;7.33;191
0.117;0.0964;-717;717;27.3;34.5
0.116;0.213;-732;740;27.1;60.4
0.784;0.0937;-480;775;1.06;7.5
0.705;0.0763;-497;774;1.14;24.1
0.0761;0.266;-737;684;22.2;13.5
0.293;0.174;-668;694;7.24;11.1
0.0832;0.0457;-733;767;269;122
0.481;0.585;-686;688;5.97;9.09
0.396;0.0666;-646;790;3.62;106
0.841;0.0156;-437;885;0.639;40.1
1.07;0.393;-543;741;0.773;2.12
0.451;0.274;-660;720;3.07;6.9
0.49;0.161;-626;756;5.66;10.9
0.504;0.165;-623;708;6.82;31.2
0.875;0.00992;-412;844;0.547;53
0.406;0.087;-612;755;7.56;19.9
0.349;0.0412;-681;782;4.52;32.4
0.442;0.22;-731;725;861;6.99
0.909;0.11;-393;740;0.479;228
0.928;0.0999;-388;711;0.459;1410
0.914;0.0246;-389;771;0.467;125
0.925;0.0735;-395;703;0.476;7810
0.101;0.0623;-712;739;18.8;29.5
0.157;0.206;-734;721;17.1;17.1
0.194;0.0733;-677;781;12.3;47.1
0.239;0.149;-688;705;10.8;14.3
0.218;0.194;-685;729;36.7;95.4
0.391;0.0676;-709;721;3.65;27.8
0.0684;0.178;-698;678;26.6;8.63
0.124;0.159;-738;737;21.3;10.6
0.33;0.112;-686;738;5.4;15.4
0.353;0.0298;-735;779;25.7;75.6
4.27;0.22;-514;836;3.69;10.4
0.0644;0.111;-809;790;56.9;123
0.197;0.276;-761;699;10.8;24.8
0.857;0.116;-444;796;0.746;5.44
0.599;0.00728;-489;785;1.21;203
0.629;0.248;-609;724;1.91;4.93
0.541;0.147;-542;699;1.78;6.09
0.424;0.234;-693;746;7.6;15.7
0.334;0.23;-599;688;292;1570
0.937;0.197;-422;652;0.556;3.94
1.15;0.508;-533;659;0.994;1.61
0.877;0.533;-565;623;1.46;2
1.34;0.655;-516;602;1;3.2
0.346;0.142;-696;711;8.58;10.7
0.768;0.477;-583;599;1.4;2.59
0.142;0.0313;-783;814;19.4;56.6
0.763;0.572;-709;695;1.85;2.48
0.213;0.0249;-602;792;4.92;47.7
0.313;0.12;-703;724;4.89;12.2
0.9;0.124;-578;763;2.31;9.79
0.181;0.286;-680;735;8.04;5.22
0.284;0.272;-678;733;8.06;7.65
0.8;0.199;-443;697;0.7;2.97
0.812;0.329;-441;622;0.677;3.26
0.906;0.315;-426;615;0.679;2.34
0.801;0.27;-448;658;0.721;4.8
0.691;0.507;-489;568;4.93;3.64
0.83;0.27;-436;633;0.65;2.55
0.789;0.246;-452;684;0.735;3.1
0.821;0.192;-438;680;0.66;4.56
